,CD,BA
FAM171A1,3572,4938
AL607028.1,14,12
ITGA8,20,22
MINDY3,38103,42066
LINC02654,0,0
PTER,57878,60164
C1QL3,1011,1255
AL353576.1,1033,1036
RSU1,138469,151550
AC073367.1,339,352
AL365215.2,2,3
CUBN,1327,1297
AC067747.1,0,0
TRDMT1,36297,40128
VIM-AS1,31430,35080
VIM,10886250,11910752
AL133415.1,281,296
ST8SIA6,6168,6536
ST8SIA6-AS1,299,262
HACD1,34566,36391
STAM-AS1,12084,13094
STAM,138049,156771
AC069542.1,224,297
TMEM236,1128,1219
MRC1,119,116
AC069023.1,0,0
SLC39A12,4,0
SLC39A12-AS1,0,1
CACNB2,7628,7595
AL390783.1,7,7
AL450384.2,6819,6580
AL450384.1,64,76
NSUN6,87475,96475
ARL5B,41969,46826
AL512641.1,1,2
MALRD1,6,14
AL590378.1,0,0
AL157895.1,30,67
AL353147.1,7,8
PLXDC2,122,164
AC069549.1,0,0
AC069549.2,2,1
NEBL,6034,5997
C10orf113,84,68
NEBL-AS1,105,175
LINC02643,0,0
MIR1915HG,174,142
SKIDA1,334,379
MLLT10,93278,103421
AL358780.1,150,176
DNAJC1,304864,337985
AL359697.1,333,319
EBLN1,0,1
AL157831.2,5,2
AL157831.3,15,11
AL158211.1,298,299
COMMD3,322899,360805
BMI1,181102,209054
AL158211.4,173,177
AL158211.2,463,590
AL158211.3,968,1011
SPAG6,748,812
AL513128.1,32,24
AL513128.3,92,110
AL513128.2,31,44
PIP4K2A,267123,292975
ARMC3,16,8
AL139815.1,16,7
MSRB2,63735,64277
PTF1A,1,0
C10orf67,338,362
AL606469.1,526,504
OTUD1,26509,26061
AL512603.2,31,48
AL512603.1,114,165
KIAA1217,13727,12370
AL356113.1,28,37
ARHGAP21,102713,109523
AL157385.2,5,6
PRTFDC1,5175,6078
AL512598.1,916,904
ENKUR,383,389
THNSL1,12743,13974
LINC01516,37,50
GPR158-AS1,7,10
GPR158,28,14
LINC00836,2,1
AL358612.1,0,0
MYO3A,4,4
GAD2,4,0
APBB1IP,386268,459628
AL390961.1,0,1
PDSS1,66203,80448
AL390961.2,1148,1314
ABI1,180891,199987
ANKRD26,92948,112312
YME1L1,428692,460746
MASTL,55991,63116
ACBD5,120186,132260
AL160291.1,234,222
LINC02673,95,81
RAB18,168097,193791
LINC02680,970,1103
MKX,45,76
MKX-AS1,0,0
ARMC4,125,119
AL390866.1,0,0
MPP7,6078,6254
AL355501.1,70,55
MPP7-DT,103,85
LINC02652,19,17
WAC-AS1,134267,148088
WAC,412196,460084
BAMBI,314,313
LINC01517,0,0
AL355376.1,0,0
LINC00837,0,0
LYZL1,0,0
AL158167.1,141,141
SVIL,20085,22226
JCAD,221,208
AL353796.1,2938,3016
MTPAP,65526,70825
AL353796.2,2411,2469
MAP3K8,151123,172104
AL590068.4,1183,1302
AL590068.1,5,2
AL590068.2,30,31
AL590068.3,69,98
LYZL2,26,13
LINC02644,5,7
ZNF438,14037,14237
AL359532.1,285,257
AL359546.1,119,149
LINC02664,204,208
ZEB1-AS1,15209,16518
ZEB1,280619,305397
AL161935.1,9,5
AL161935.3,1,1
MACORIS,36,30
ARHGAP12,12814,14735
KIF5B,640417,758485
AL158834.2,39,47
EPC1,222862,254132
AL158834.1,46,52
AL391839.2,339,383
AL391839.1,15,15
AL391839.3,1758,1796
CCDC7,24010,27462
AL365203.2,1965,2121
ITGB1,456413,538237
ITGB1-DT,2591,2953
IATPR,621,911
NRP1,4914,3885
AL121748.1,8,8
AL353600.1,19,8
AL353600.2,62,43
LINC02628,0,0
AL450313.1,0,0
LINC00838,2,1
LINC02629,0,0
PARD3,11796,11145
PARD3-AS1,37,23
LINC02635,1,0
CUL2,157488,187578
AL392046.1,395,448
CREM,368362,423048
AL117336.1,1483,1506
LINC02634,20,11
CCNY,104851,116997
AL117336.2,4662,5016
AL603824.1,1532,1638
AL121749.1,59,65
GJD4,34,39
FZD8,581,645
AL121749.2,9,16
PCAT5,17,16
LINC02630,2,3
AL355300.1,0,0
AL590730.1,0,0
AL390061.1,0,0
ANKRD30A,11,12
AL157387.1,0,0
MTRNR2L7,5,5
AL132657.1,250,273
ZNF248,31920,34247
AL132657.2,4,0
AL135791.1,2022,2277
ZNF25,14330,15343
ZNF25-DT,12,21
ZNF33A,130578,147183
ZNF37A,190729,217509
AL117339.4,585,674
AL133216.1,11,14
IGKV1OR10-1,0,0
LINC00839,26,22
ZNF33B,51176,59548
AL022345.4,1455,1629
LINC01518,1,1
LINC02632,2,1
AL022344.1,14,24
BMS1,333307,393363
LINC02623,0,0
LINC01264,0,0
RET,465,474
AC010864.1,3775,4368
CSGALNACT2,186901,210211
RASGEF1A,8304,10763
LINC02633,54,50
AC068707.1,17,22
FXYD4,77,89
HNRNPF,845502,1014788
AL450326.1,15275,17105
ZNF487,6123,7396
ZNF239,337,470
AL450326.3,9,11
ZNF485,5056,6798
ZNF32-AS3,2,3
AL645634.2,9,6
ZNF32,30873,38225
ZNF32-AS1,6,6
ZNF32-AS2,48,71
AL645634.1,0,0
LINC02658,2,0
LINC00840,29,24
LINC02659,0,0
LINC00841,7,1
AL139237.1,0,0
AL137026.2,0,1
AL137026.1,7,2
C10orf142,0,0
AL137026.3,5,3
CXCL12,236,416
AL356157.3,0,0
AL356157.1,0,0
TMEM72-AS1,61,75
AL353801.2,0,1
TMEM72,4,1
AL353801.1,1,0
AL353801.3,926,1214
RASSF4,2022,3210
DEPP1,396,544
C10orf25,1281,1499
ZNF22,224499,272661
AL358394.1,0,0
OR13A1,64,77
ALOX5,611,587
AL731567.1,1,1
MARCH8,17921,19967
ZFAND4,11575,13723
WASHC2C,73416,81499
AGAP4,7676,7975
TIMM23,137845,161703
NCOA4,215984,249412
MSMB,9,5
ANTXRL,5,19
ANXA8L1,203,287
LINC00842,19,32
NPY4R,0,0
GPRIN2,0,1
SYT15,526,555
AL356056.2,170,160
AL356056.1,437,437
LINC02637,0,1
FAM245B,13,22
PTPN20,518,487
GDF10,109,78
GDF2,0,0
RBP3,0,0
ZNF488,27,44
ANXA8,163,205
FAM25G,0,0
AL591684.1,0,0
AGAP9,6342,6759
LINC02675,8,5
FO681492.1,9,10
AC245041.2,55,52
NPY4R2,0,0
AC245041.1,9,9
FAM25C,0,0
FRMPD2,23,37
AC074325.1,0,0
MAPK8,137624,131124
ARHGAP22,228,243
ARHGAP22-IT1,0,0
AC068898.2,3,3
AC068898.1,0,0
WDFY4,80,56
AC035139.2,0,0
AC035139.1,0,0
AC060234.3,1,1
LRRC18,6,4
AC060234.2,0,0
AC060234.1,0,0
VSTM4,2482,2237
FAM170B-AS1,21,23
FAM170B,429,393
TMEM273,117905,116753
C10orf71-AS1,0,0
C10orf71,1,2
DRGX,94,72
AL138760.1,2,4
ERCC6,75599,86111
CHAT,4,6
SLC18A3,1,0
C10orf53,4,4
OGDHL,149,163
PARG,69295,81960
TIMM23B,32753,39245
TIMM23B-AGAP6,1595,1843
AL442003.1,5891,6866
AGAP6,76,67
WASHC2A,73926,81450
ASAH2,1161,1227
SGMS1,47623,55063
AC069547.2,85,104
AL117341.1,4,4
SGMS1-AS1,5642,6572
AL589794.2,293,296
ASAH2B,6357,6226
A1CF,43,33
AL512366.1,0,0
AL731537.2,0,0
PRKG1,97,176
AL731537.1,30,3
AC022537.1,1,0
AC069079.1,0,0
CSTF2T,76134,86460
PRKG1-AS1,176,181
DKK1,1,0
LNCAROD,851,548
MBL2,11,9
AC073174.1,1,1
LINC02672,1,0
AC036101.1,0,0
PCDH15,5,1
AL353784.1,1,0
AC051618.1,0,0
AC016822.1,0,0
AL355314.1,0,0
AL355314.2,0,0
MTRNR2L5,13,13
ZWINT,197053,229489
AC010996.1,4604,4977
IPMK,40834,45917
CISD1,333674,374383
AC016396.1,26,18
AC016396.2,0,1
UBE2D1,109147,129796
TFAM,458452,541675
BICC1,4340,3383
LINC00844,30,32
PHYHIPL,21,21
FAM13C,205,278
AC025038.1,0,0
AL355474.1,2,2
AC026391.1,3,3
SLC16A9,5879,7431
MRLN,274,265
CCDC6,450976,500507
LINC01553,24,12
ANK3,337552,342553
AL592430.1,1354,1440
AL592430.2,18,11
ANK3-DT,82,102
CDK1,379633,430339
RHOBTB1,1013,1163
LINC00845,1,0
TMEM26,0,1
TMEM26-AS1,0,0
AL356952.1,0,0
CABCOCO1,8,15
AL451049.1,32,33
LINC02625,51,54
ARID5B,231220,255115
RTKN2,54013,58804
LINC02621,2,2
AC024597.1,1,0
ZNF365,362,437
AC067752.1,53,69
AC067751.1,185,195
ADO,56364,65341
EGR2,33425,34583
AL590502.1,15,11
NRBF2,234058,270568
JMJD1C,144449,162635
JMJD1C-AS1,337,321
REEP3,137459,154131
AC022387.2,236,194
AC013287.1,0,1
AC012558.1,0,0
LINC02671,7,11
AL513321.2,1,0
AL592466.1,0,0
LINC01515,431,330
CTNNA3,64,64
AC022017.1,0,0
LRRTM3,65,33
AL139240.1,0,0
DNAJC12,161381,149837
AL133551.1,4206,4499
SIRT1,48021,52725
HERC4,117732,127201
MYPN,35,42
ATOH7,19,16
LINC02640,11,6
PBLD,4985,5057
HNRNPH3,649857,744439
RUFY2,43585,48819
DNA2,60568,72192
SLC25A16,33898,38843
TET1,9116,10894
AL513534.2,2028,2392
CCAR1,475041,532972
STOX1,3783,4555
AL359844.1,26,36
DDX50,248299,287194
DDX21,1474213,1798228
KIF1BP,76578,84621
SRGN,3261340,3513818
VPS26A,134027,153074
SUPV3L1,63555,71103
AL596223.1,39,55
HKDC1,1082,1251
AL596223.2,0,0
HK1,322329,357095
TACR2,183,198
TSPAN15,1805,2241
AC016821.1,41,21
NEUROG3,6,4
AL450311.1,214,184
FAM241B,8392,8933
LINC02651,0,0
COL13A1,0,5
LINC02636,5,9
H2AFY2,10628,10544
AIFM2,64484,74042
TYSND1,26077,28587
SAR1A,232586,271931
PPA1,1924767,2245558
NPFFR1,48,66
LRRC20,6888,7356
EIF4EBP2,134768,149087
NODAL,51,109
PALD1,1095,1313
PRF1,272150,342132
ADAMTS14,678,674
TBATA,0,0
SGPL1,89206,115936
PCBD1,307812,332467
AC073176.2,0,0
AC073176.1,0,1
LINC02622,1,1
UNC5B,71,115
UNC5B-AS1,160,171
SLC29A3,10423,11794
CDH23,2886,2170
CDH23-AS1,0,0
C10orf105,204,257
VSIR,62226,74089
PSAP,178948,196780
AC073370.1,7,13
CHST3,534,528
AC022392.1,78,92
SPOCK2,409378,410611
ASCC1,88828,94638
ANAPC16,717026,766266
DDIT4,763687,811361
DDIT4-AS1,4585,4300
DNAJB12,103735,123826
MICU1,99536,112991
AC091769.2,401,492
AL513185.1,0,0
MCU,20279,22893
AC016542.1,143,183
OIT3,4,9
PLA2G12B,28,24
P4HA1,464905,500321
AL731563.2,7,8
AL731563.3,3282,3445
NUDT13,3053,3160
AC016394.2,4130,4252
ECD,86855,98060
FAM149B1,13435,14513
DNAJC9,350694,425343
DNAJC9-AS1,1436,1637
MRPS16,359412,422243
AC016394.1,7854,8555
CFAP70,2110,2253
ANXA7,371115,434892
AL512656.1,6,8
MSS51,3122,3309
PPP3CB,90185,104252
PPP3CB-AS1,27963,32493
USP54,5247,6345
AC073389.1,8002,8392
AC073389.3,445,405
MYOZ1,6,5
SYNPO2L,136,165
AC073389.2,328,339
AGAP5,10385,11645
AC022400.4,1367,1461
SEC24C,56983,61623
FUT11,99288,100895
CHCHD1,454641,506026
ZSWIM8,34905,37678
ZSWIM8-AS1,2167,2287
NDST2,47072,49462
CAMK2G,39259,42518
AC022400.1,94,64
AC022400.2,7,3
PLAU,7212,6142
C10orf55,664,678
VCL,86819,114213
AL596247.1,276,380
AP3M1,80922,91650
ADK,391037,427407
AC022540.1,534,690
AC063962.1,33,40
KAT6B,166328,187433
AC018511.2,0,1
AC018511.1,2,4
DUPD1,38,32
AC018511.5,215,156
DUSP13,4,3
SAMD8,36472,39446
VDAC2,985128,1126628
COMTD1,116642,130463
ZNF503-AS1,5,10
AC010997.3,0,0
ZNF503,6037,8682
ZNF503-AS2,265,280
AC010997.5,18,28
AC010997.4,4,4
AC010997.2,0,0
LRMDA,58,56
AL589863.2,1,0
AL589863.1,2,0
AL731568.1,0,3
AC013286.1,0,0
AC024603.1,0,0
KCNMA1,6087,4867
KCNMA1-AS1,50,25
KCNMA1-AS2,0,0
AL731575.1,1,0
KCNMA1-AS3,5,6
AL450306.1,286,237
DLG5,2707,2820
AL391421.1,6,8
DLG5-AS1,99,92
POLR3A,78581,91902
RPS24,13935043,15293239
AL731555.1,1,1
AC012560.1,1,1
LINC00595,56,69
AC010163.3,3,9
AC010163.1,0,2
AC010163.2,0,0
AL583852.1,0,0
AC016820.1,0,0
ZMIZ1-AS1,711,864
AL356753.1,12,15
ZMIZ1,136230,147190
PPIF,282195,325272
ZCCHC24,6456,6066
AL133481.1,3,0
AL133481.3,0,0
EIF5AL1,40669,47753
SFTPA2,34,22
SFTPA1,7,3
LINC02679,75,74
AL132656.2,218,217
NUTM2B-AS1,187397,191523
AL132656.3,2393,2652
NUTM2B,274,287
AL135925.1,28749,28499
NUTM2E,157,137
AL512662.2,809,692
SFTPD,105,106
SFTPD-AS1,176,140
TMEM254-AS1,971,883
TMEM254,19067,20477
PLAC9,56,48
ANXA11,377005,426780
LINC00857,34,38
MAT1A,1,0
AL359195.1,1,0
DYDC1,1,0
DYDC2,9,5
PRXL2A,40587,46784
TSPAN14,126549,139138
AC021028.1,4157,4662
SH2D4B,58,48
LINC02655,1,5
AL096706.1,127,102
NRG3,27,18
AC010157.2,3,0
AC010157.1,1,0
NRG3-AS1,0,0
LINC02650,0,0
AC069540.2,0,0
AL390786.1,0,0
AL603756.1,3201,3003
GHITM,629810,709848
CERNA2,395,282
C10orf99,944,831
CDHR1,225,167
LRIT2,1,0
RGR,2,3
LRIT1,0,0
LINC00858,52,66
CCSER2,187354,213034
LINC01519,0,0
AL358787.1,0,0
LINC02647,0,2
AC025428.1,0,0
LINC01520,0,0
GRID1-AS1,0,0
GRID1,15,28
AC022028.2,2,1
AL844892.2,418,514
AL844892.1,7,4
WAPL,262449,303276
AL731569.1,3904,4480
OPN4,0,0
LDB3,120,115
AC067750.1,841,947
BMPR1A,12793,13081
MMRN2,206,194
SNCG,73,92
ADIRF-AS1,1366,1413
ADIRF,111,152
AL136982.7,0,0
AL136982.2,0,0
FAM25A,100,107
GLUD1,198464,214808
SHLD2,99817,116419
AL136982.3,548,585
NUTM2A-AS1,165542,181037
AL157893.2,8229,9052
NUTM2A,277,355
LINC00863,12946,13744
NUTM2D,220,224
FAM245A,5,13
AL355334.2,219,264
MINPP1,32092,36083
AL138767.2,0,0
AL138767.3,87,102
AL138767.1,3,12
PAPSS2,4370,3967
ATAD1,127396,142203
KLLN,3009,3233
PTEN,269872,299882
AC063965.2,304,306
RNLS,3449,3565
LIPJ,47,46
LIPF,2,4
LIPK,1,0
LIPN,87,122
LIPM,5,2
ANKRD22,2304,2030
STAMBPL1,77514,82890
ACTA2-AS1,1793,1786
ACTA2,27802,37497
AL157394.3,15657,16007
FAS,148584,171992
AL157394.1,0,0
CH25H,24,31
LIPA,25962,27601
IFIT2,11514,18122
AL353751.1,1,4
IFIT3,17058,30100
IFIT1B,10,11
IFIT1,3143,8312
IFIT5,20451,26138
SLC16A12,17,25
SLC16A12-AS1,5,4
PANK1,8404,9296
AL157400.2,291,270
AL157400.1,4,4
AL157400.3,542,647
AL157400.4,144,161
KIF20B,448040,517295
LINC00865,589,729
LINC01374,1,3
LINC01375,0,0
AL139340.1,0,0
LINC02653,0,1
AL391704.1,0,0
AL391704.2,0,0
AL390862.1,0,0
HTR7,213,180
RPP30,235711,252937
ANKRD1,200,254
AL365434.1,20,8
AL365434.2,39,31
LINC00502,0,0
AL731553.1,25,28
PCGF5,105806,118960
HECTD2,14024,15763
PPP1R3C,155,114
TNKS2-AS1,2277,2200
TNKS2,115743,135794
FGFBP3,11858,14040
AL359198.1,1680,1884
BTAF1,71895,82205
CPEB3,5117,5462
MARCH5,72997,84678
AL161652.1,2,1
IDE,76104,88914
KIF11,257163,295598
HHEX,2804,2953
EXOC6,58656,69123
AL358613.1,23,15
CYP26C1,143,136
AL358613.2,0,0
CYP26A1,152,100
MYOF,48281,53408
CEP55,303959,347868
FFAR4,10,6
RBP4,137,132
PDE6C,69,62
FRA10AC1,161491,177779
LGI1,3,2
AL157396.1,4,11
AL358154.1,0,0
SLC35G1,12937,14671
PLCE1,18211,20752
PLCE1-AS2,4,1
AL139118.1,0,1
AL389885.1,0,0
PLCE1-AS1,2,4
AL139124.1,429,454
NOC3L,313132,360538
TBC1D12,3217,3284
HELLS,512787,593701
AL138759.1,288,296
CYP2C18,179,210
CYP2C19,18,21
CYP2C9,5,4
CYP2C8,16,20
AL157834.1,152,203
ACSM6,27,48
AL157834.2,32,44
PDLIM1,13562,19894
SORBS1,1988,1487
ALDH18A1,94475,104139
TCTN3,114042,126500
ENTPD1,187553,229686
ENTPD1-AS1,45293,53239
AL365273.1,67,75
CC2D2B,1771,1985
CCNJ,18422,22560
AC021037.1,1042,1193
ZNF518A,84931,94972
BLNK,16,10
AL136181.1,1,0
DNTT,4,2
OPALIN,0,1
TLL2,51,52
TM9SF3,381072,451643
PIK3AP1,8518,10414
LCOR,94880,110042
SLIT1,207,222
SLIT1-AS1,12,9
AL512424.1,2,2
ARHGAP19,94411,110082
FRAT1,12026,13236
FRAT2,34952,40519
AL355490.1,555,551
RRP12,45490,54233
AL355490.2,498,471
PGAM1,2035171,2149008
EXOSC1,186681,214812
ZDHHC16,69291,80145
MMS19,51380,53957
UBTD1,4507,4694
ANKRD2,425,532
HOGA1,25,31
C10orf62,5,5
MORN4,4799,5092
PI4K2A,31433,36019
AVPI1,3281,3694
MARVELD1,4258,3769
ZFYVE27,35467,39912
SFRP5,34,34
LINC00866,30,19
GOLGA7B,5588,5346
CRTAC1,67,61
R3HCC1L,67455,77152
LOXL4,151,146
AL139241.1,133,154
PYROXD2,4768,5601
HPS1,126015,137526
AL139243.1,932,1049
HPSE2,116,171
CNNM1,747,737
GOT1,64040,73826
AL391684.1,3177,3510
LINC01475,0,0
AL513542.1,0,0
NKX2-3,5,2
SLC25A28,44404,51962
AL353719.1,1105,1306
AL133353.1,1895,1903
ENTPD7,15862,17324
CUTC,97963,112515
COX15,77371,85961
ABCC2,952,1084
DNMBP,3875,4161
DNMBP-AS1,64,68
CPN1,3,4
ERLIN1,36961,45619
CHUK,56827,68370
AL138921.2,55,88
AL138921.1,223,265
CWF19L1,63833,69946
BLOC1S2,241801,271956
PKD2L1,22,10
AL139819.1,5,5
SCD,109712,114179
OLMALINC,14277,13592
WNT8B,15,20
SEC31B,24119,24031
NDUFB8,1496860,1648457
HIF1AN,62061,69505
PAX2,1291,1280
AL138762.1,4572,4941
SLF2,93299,107706
AL133215.3,64,83
MRPL43,241051,278471
SEMA4G,660,664
AL133215.1,11,14
TWNK,50698,62072
LZTS2,11711,12660
PDZD7,1105,1109
SFXN3,61264,58654
AL133215.2,5270,5876
KAZALD1,227,267
TLX1NB,0,0
TLX1,0,0
LINC01514,1,0
LBX1,2,2
LBX1-AS1,1,0
LINC02681,18,11
AL133387.1,0,0
AL133387.2,0,1
BTRC,42388,47329
DPCD,41576,40814
POLL,34760,38784
FBXW4,59648,68181
AC010789.2,125,120
AC010789.1,9,5
FGF8,18,23
NPM3,251427,298326
OGA,251959,279514
KCNIP2-AS1,540,580
KCNIP2,1022,952
ARMH3,23958,26552
HPS6,27875,33180
LDB1,53493,60251
PPRC1,62668,75093
NOLC1,441944,542113
ELOVL3,108,109
PITX3,1231,1565
GBF1,84471,94976
NFKB2,267922,345571
PSD,16082,21280
FBXL15,112353,125424
CUEDC2,229393,259510
RPARP-AS1,44272,47945
C10orf95,5762,6463
MFSD13A,19033,20939
ACTR1A,95968,110450
AL121928.1,962,1049
SUFU,10134,11533
TRIM8,127792,137877
AL391121.1,9180,11473
ARL3,421640,434712
SFXN2,49166,54075
WBP1L,30187,32548
CYP17A1,51,44
AL358790.1,126,168
BORCS7,118730,134337
AS3MT,1554,1711
AL356608.3,30,32
AL356608.1,15,11
CNNM2,11040,12270
NT5C2,57772,62516
RPEL1,147,193
INA,5703,7093
PCGF6,57905,67025
TAF5,29416,35504
ATP5MD,1466105,1513864
PDCD11,296310,354535
CALHM2,39039,45294
AL139339.2,677,773
AL139339.1,665,790
CALHM1,354,481
CALHM3,431,509
NEURL1-AS1,0,0
NEURL1,27786,29300
AL121929.1,0,0
AL121929.3,191,164
SH3PXD2A,26958,29897
AL121929.2,2117,2105
SH3PXD2A-AS1,1815,1932
AL133355.1,134,124
STN1,68049,77968
SLK,168547,198283
COL17A1,1192,1284
SFR1,38837,44961
CFAP43,134,135
GSTO1,926906,1038718
GSTO2,2626,2653
ITPRIP,20064,22348
AL162742.1,2,1
ITPRIP-AS1,25,27
CFAP58-DT,72,83
CFAP58,1906,1968
LINC02620,0,1
AL161646.1,2,3
SORCS3,6,2
SORCS3-AS1,0,0
LINC02627,3,2
AL731574.1,0,1
AL589166.1,0,0
LINC02624,0,0
SORCS1,26,43
AL133395.1,456,487
LINC01435,8,10
AL353740.1,0,1
LINC02661,0,0
XPNPEP1,66140,71707
ADD3-AS1,707,974
ADD3,223826,260509
MXI1,98383,100284
AL360182.2,16,28
SMNDC1,265582,302638
AL355512.1,4188,3930
DUSP5,195530,208993
SMC3,726082,866571
RBM20,731,805
AL136368.1,105,129
PDCD4-AS1,4518,5130
PDCD4,355382,413798
BBIP1,114830,120501
AL158163.2,549,605
AL158163.1,1773,2003
SHOC2,159938,179571
ADRA2A,44,32
AC021035.1,0,0
AL136119.1,3,1
GPAM,21699,25105
TECTB,0,2
ACSL5,77107,85478
AL157786.1,4112,4595
ZDHHC6,72382,84714
VTI1A,97104,109982
AL139120.1,19,16
AL158212.5,275,328
AL158212.3,4310,4858
AL158212.1,6,6
TCF7L2,3330,4505
AL158212.2,507,812
AL133482.1,3,0
HABP2,0,2
NRAP,5,9
CASP7,84542,107629
AL592546.2,2,5
PLEKHS1,106,108
DCLRE1A,27759,31438
NHLRC2,56450,64135
AL592546.3,614,713
ADRB1,79,101
AC022023.2,20,13
CCDC186,113958,132586
TDRD1,1689,1927
VWA2,653,700
AC005383.1,257,239
AFAP1L2,42178,48298
ABLIM1,163603,174449
AL137025.1,722,819
FAM160B1,53199,59273
TRUB1,54320,58754
LINC02626,5,12
ATRNL1,2390,2255
AC016042.1,146,139
GFRA1,18,29
AC012470.1,4,6
CCDC172,0,0
PNLIPRP3,0,3
PNLIP,0,1
PNLIPRP1,3,2
C10orf82,3,3
AC016825.1,2,2
HSPA12A,460,477
ENO4,2,6
SHTN1,479,478
AC023283.1,43,56
VAX1,0,3
MIR3663HG,0,0
KCNK18,0,0
AL731557.1,4,11
SLC18A2,371,462
AL391988.1,1432,1563
PDZD8,78235,93253
AC005871.2,0,0
EMX2OS,33,42
EMX2,912,1410
AC005871.1,0,0
AL356419.1,0,0
LINC02674,0,0
AL513324.1,11,17
RAB11FIP2,40866,48067
AC022395.1,226,267
CASC2,1315,1303
AL354863.1,7,9
FAM204A,310872,357839
LINC00867,72,68
PRLHR,25,23
CACUL1,83460,92620
AL139407.1,886,927
AL157388.1,0,6
NANOS1,2300,2654
EIF3A,1422316,1670504
DENND10,124114,149961
SFXN4,117152,147385
PRDX3,419455,479554
GRK5,39389,44062
GRK5-IT1,85,82
AL583824.1,107,120
RGS10,1123748,1224309
TIAL1,352261,407265
BAG3,41246,42710
INPP5F,51724,56637
MCMBP,143926,160153
SEC23IP,103692,114397
PLPP4,2,2
LINC01561,0,0
AC023282.1,158,155
WDR11-AS1,1439,1520
AL391425.1,79,62
WDR11,77454,84717
AC010998.2,509,543
AC010998.1,1,1
AC010998.3,1,2
LINC01153,0,0
FGFR2,91,114
AC009988.1,0,0
AC025947.1,0,0
ATE1,101386,119151
AL731566.3,492,542
NSMCE4A,148123,178510
AL731566.2,3335,3795
TACC2,157,169
AC063960.1,2,1
AC063960.2,0,1
BTBD16,107,129
PLEKHA1,19259,25721
BX842242.1,0,8
ARMS2,0,3
HTRA1,47,66
DMBT1,15,11
AL603764.2,0,0
C10orf120,0,0
CUZD1,1854,2087
FAM24B,21813,23697
FAM24A,2,3
C10orf88,33897,39793
PSTK,16046,17868
IKZF5,29773,33930
ACADSB,33152,36449
HMX3,740,1035
HMX2,682,717
BUB3,702770,797588
LINC02641,234,236
AL160290.1,0,0
AL357127.2,6,4
AL357127.1,0,1
GPR26,0,0
CPXM2,0,1
AC009987.1,0,0
AC068058.1,0,0
BX469938.1,0,0
CHST15,352,339
OAT,51213,57399
NKX1-2,0,0
AL445237.1,0,0
LHPP,14606,16650
FAM53B,13234,15689
AL513190.1,26,36
FAM53B-AS1,14,14
EEF1AKMT2,104506,115527
ABRAXAS2,85679,98774
AL731577.2,322,334
ZRANB1,48458,54706
AL731577.1,2027,1805
CTBP2,3652,4908
AL731571.1,112,113
AL157888.1,0,4
TEX36-AS1,0,0
TEX36,0,0
AL158835.1,106,139
EDRF1-DT,5706,6292
AL158835.2,326,360
EDRF1,71649,83367
EDRF1-AS1,511,511
MMP21,2024,2187
UROS,179600,208307
BCCIP,306501,356823
DHX32,59317,60243
FANK1,1944,2392
FANK1-AS1,0,0
ADAM12,3599,3039
AL589787.2,3,2
LINC00601,15,15
C10orf90,31,13
AL589787.1,4,1
DOCK1,1694,2472
AL359094.1,14,14
AL359094.2,0,0
INSYN2A,12,21
NPS,0,4
FOXI2,0,0
CLRN3,38,67
PTPRE,82204,84201
AL158166.2,23,19
AL158166.1,18,12
AL390236.1,37,21
MKI67,1152396,1353180
LINC01163,991,1356
AL390763.1,44,51
LINC02667,2,0
AL355537.1,2,0
AL355537.2,0,0
AL391869.1,0,0
AL359508.1,0,0
MGMT,187941,208171
AL355531.1,294,337
AL157832.2,25,20
AL157832.1,16,11
LINC02666,343,344
EBF3,168,366
AL354950.2,22,39
AL354950.1,28,26
AL354950.3,1,0
C10orf143,8831,10531
AL139123.1,744,796
GLRX3,342408,397617
LINC02646,39,45
AC016816.1,9,12
TCERG1L,81,126
TCERG1L-AS1,149,125
LINC01164,3,3
AL450307.1,0,0
FP565171.1,0,1
PPP2R2D,109691,124667
BNIP3,680956,713018
AL162274.2,1868,2009
AL162274.1,1728,1852
JAKMIP3,199,215
AL512622.1,7,13
DPYSL4,2081,2313
STK32C,45674,47127
LRRC27,5247,5865
PWWP2B,1203,1799
AL451069.2,3,0
AL451069.3,15,9
C10orf91,627,845
AL451069.1,33,26
LINC01165,2,3
INPP5A,8691,9221
NKX6-2,10,12
CFAP46,92,227
LINC01166,0,1
LINC01167,3,1
LINC01168,1,0
ADGRA1,1,0
ADGRA1-AS1,0,0
KNDC1,246,362
UTF1,236,239
VENTX,4,2
MIR202HG,10,8
AL592071.1,338,383
ADAM8,80664,92440
TUBGCP2,232764,264920
AL360181.2,233,215
ZNF511,253254,304204
CALY,65,135
AL360181.1,0,0
PRAP1,158,265
FUOM,103555,123306
ECHS1,349294,396404
AL360181.4,4,3
PAOX,11098,13904
MTG1,141911,163972
SPRN,40,58
SCART1,567,653
CYP2E1,149,166
AL161645.1,12,5
AL161645.2,6,14
SYCE1,1600,2262
AL731769.2,117,160
AL731769.1,1,3
FRG2B,5,3
AC069287.1,0,0
LINC01001,2426,2271
AC069287.3,0,1
BET1L,52602,57152
SCGB1C1,0,0
ODF3,23,20
AC069287.2,1553,1688
RIC8A,89394,106673
SIRT3,16474,17449
PSMD13,643584,751953
NLRP6,793,1086
AC136475.3,13156,16574
PGGHG,20220,22809
IFITM5,17,25
IFITM2,1169313,1388557
AC136475.2,99,135
IFITM1,62945,73624
AC136475.1,4338,4897
IFITM3,46093,78089
