,CD,BA
ZMYM4,113218,132611
ZMYM4-AS1,80,109
KIAA0319L,57900,62163
NCDN,27268,31953
AC004865.2,10423,12034
TFAP2E,726,814
PSMB2,817402,927218
C1orf216,37231,43719
CLSPN,308139,375661
AL354864.1,137,171
AGO4,27676,31794
AGO1,79781,87815
AL139286.3,1657,1887
AL139286.2,265,275
AGO3,97715,107062
AL138787.2,42,66
TEKT2,61,56
ADPRHL2,130907,151036
COL8A2,97,136
TRAPPC3,297344,340171
MAP7D1,175191,204681
THRAP3,858068,993779
SH3D21,12704,11831
EVA1B,116284,139001
AL591845.1,927,748
STK40,58717,65281
LSM10,260776,302893
OSCP1,3235,3120
MRPS15,537727,624187
CSF3R,66,63
AL596257.1,2,1
AC117945.2,0,0
AC117945.1,2,0
GRIK3,0,1
AL031430.1,0,0
AL353604.1,2,10
LINC01137,14181,16001
ZC3H12A,20704,23031
MEAF6,301811,348668
SNIP1,97286,106748
DNALI1,324,349
GNL2,214452,260868
AL513220.1,4,9
RSPO1,0,2
C1orf109,58908,71060
CDCA8,185194,218527
EPHA10,105,105
MANEAL,2973,3924
AL929472.3,31,33
YRDC,212747,271253
C1orf122,195516,224245
MTF1,46815,52879
AL929472.2,252,250
INPP5B,34145,37843
SF3A3,353353,413761
FHL3,54495,65717
UTP11,462382,547334
POU3F1,2276,2029
MIR3659HG,37,28
LINC02786,0,0
AL390839.1,1,0
AL390839.2,1,3
LINC01343,0,0
LINC01685,1,0
AL354702.2,4,0
RRAGC,61115,67631
AL139260.1,3677,4402
MYCBP,236618,264311
GJA9,710,758
RHBDL2,612,679
AKIRIN1,252353,294838
NDUFS5,1727728,1865290
MACF1,464220,508916
AL356055.1,868,917
AL442071.2,495,543
AL442071.1,9,4
BMP8A,543,604
PABPC4,367764,434795
PABPC4-AS1,281,305
HEYL,209,233
AL035404.2,0,0
NT5C1A,6,15
HPCAL4,2838,2990
PPIE,180252,200983
BMP8B,798,665
OXCT2,5252,6323
BMP8B-AS1,8,1
AL033527.3,399,391
AL033527.4,813,876
LINC02811,7,9
TRIT1,56901,64119
MYCL,94,95
AL033527.2,220,242
MFSD2A,76753,111544
CAP1,1216092,1331334
PPT1,211457,236918
RLF,111459,120744
TMCO2,90,73
AL050341.2,11086,12631
ZMPSTE24,181430,210039
COL9A2,18569,20123
SMAP2,992693,1123380
AL031985.4,30,28
ZFP69B,10125,11756
AL031985.3,3055,3064
ZFP69,1922,2468
AL603839.3,1583,1854
EXO5,13689,16247
AL603839.1,4,8
AL603839.2,139,171
ZNF684,19105,22224
AL356379.2,23,25
RIMS3,2193,2187
AL031289.2,191,218
AL031289.1,0,0
NFYC-AS1,8600,10258
NFYC,100571,112753
KCNQ4,298,303
CITED4,10519,10860
AC119677.1,12,10
AL391730.2,1,2
CTPS1,220782,264972
SLFNL1-AS1,1985,2461
SLFNL1,501,560
SCMH1,11070,12460
AC093151.8,102,140
AC093151.3,94,102
FOXO6,190,206
AC093151.2,2,7
EDN2,61,44
HIVEP3,60134,65627
AL445933.2,0,0
AC119676.1,0,0
AL158216.1,8,6
GUCA2B,0,0
GUCA2A,4,5
FOXJ3,113799,130303
AC096540.1,12,10
RIMKLA,27818,26735
ZMYND12,399,478
PPCS,205424,229276
CCDC30,5846,6560
PPIH,209175,239327
AC098484.4,1709,1885
AC098484.2,969,1085
YBX1,5550019,6553784
CLDN19,32,37
P3H1,41559,46389
C1orf50,77472,87225
AC098484.1,56,61
